sample_num,name,unity_note,fine_tune,sample_rate,total_samples,total_length_sec,has_loop,loop_start,loop_start_sec,loop_length,loop_length_sec,loop_end,loop_end_sec
1,Unknown,36,-4,22050,0,0.0,True,11989,0.5437,1682,0.0763,13671,0.62
2,Unknown,41,-1,22050,0,0.0,True,10830,0.4912,2272,0.103,13102,0.5942
3,Unknown,48,0,22050,0,0.0,True,9313,0.4224,1854,0.0841,11167,0.5064
4,Unknown,56,0,22050,0,0.0,True,8309,0.3768,1487,0.0674,9796,0.4443
5,Unknown,64,1,22050,0,0.0,True,9176,0.4161,1339,0.0607,10515,0.4769
6,Unknown,73,1,22050,0,0.0,True,6194,0.2809,1393,0.0632,7587,0.3441
7,Unknown,78,-1,22050,0,0.0,True,6447,0.2924,1221,0.0554,7668,0.3478
8,Unknown,84,-2,22050,0,0.0,True,5976,0.271,1368,0.062,7344,0.3331
9,Unknown,92,1,22050,0,0.0,True,5392,0.2445,1049,0.0476,6441,0.2921
10,Unknown,103,3,22050,0,0.0,True,4686,0.2125,155,0.007,4841,0.2195
11,Piano 1     ,36,-4,22050,0,0.0,True,11989,0.5437,1682,0.0763,13671,0.62
12,Piano 1     ,41,-1,22050,0,0.0,True,10830,0.4912,2272,0.103,13102,0.5942
13,Unknown,48,0,22050,0,0.0,True,9313,0.4224,1854,0.0841,11167,0.5064
14,Unknown,56,0,22050,0,0.0,True,8309,0.3768,1487,0.0674,9796,0.4443
15,Unknown,64,1,22050,0,0.0,True,9176,0.4161,1339,0.0607,10515,0.4769
16,Unknown,73,1,22050,0,0.0,True,6194,0.2809,1393,0.0632,7587,0.3441
17,Unknown,78,-1,22050,0,0.0,True,6447,0.2924,1221,0.0554,7668,0.3478
18,Unknown,84,-2,22050,0,0.0,True,5976,0.271,1368,0.062,7344,0.3331
19,Unknown,92,1,22050,0,0.0,True,5392,0.2445,1049,0.0476,6441,0.2921
20,Unknown,103,3,22050,0,0.0,True,4686,0.2125,155,0.007,4841,0.2195
21,Piano 1     ,36,-4,22050,0,0.0,True,11989,0.5437,1682,0.0763,13671,0.62
22,Piano 1     ,41,-1,22050,0,0.0,True,10830,0.4912,2272,0.103,13102,0.5942
23,Unknown,48,0,22050,0,0.0,True,9313,0.4224,1854,0.0841,11167,0.5064
24,Unknown,56,0,22050,0,0.0,True,8309,0.3768,1487,0.0674,9796,0.4443
25,Unknown,64,1,22050,0,0.0,True,9176,0.4161,1339,0.0607,10515,0.4769
26,Unknown,73,1,22050,0,0.0,True,6194,0.2809,1393,0.0632,7587,0.3441
27,Unknown,78,-1,22050,0,0.0,True,6447,0.2924,1221,0.0554,7668,0.3478
28,Unknown,84,-2,22050,0,0.0,True,5976,0.271,1368,0.062,7344,0.3331
29,Unknown,92,1,22050,0,0.0,True,5392,0.2445,1049,0.0476,6441,0.2921
30,Unknown,103,3,22050,0,0.0,True,4686,0.2125,155,0.007,4841,0.2195
31,Piano 1d    ,36,-4,22050,0,0.0,True,11989,0.5437,1682,0.0763,13671,0.62
32,Piano 1d    ,41,-1,22050,0,0.0,True,10830,0.4912,2272,0.103,13102,0.5942
33,Unknown,48,0,22050,0,0.0,True,9313,0.4224,1854,0.0841,11167,0.5064
34,Unknown,56,0,22050,0,0.0,True,8309,0.3768,1487,0.0674,9796,0.4443
35,Unknown,64,1,22050,0,0.0,True,9176,0.4161,1339,0.0607,10515,0.4769
36,Unknown,73,1,22050,0,0.0,True,6194,0.2809,1393,0.0632,7587,0.3441
37,Unknown,78,-1,22050,0,0.0,True,6447,0.2924,1221,0.0554,7668,0.3478
38,Unknown,84,-2,22050,0,0.0,True,5976,0.271,1368,0.062,7344,0.3331
39,Unknown,92,1,22050,0,0.0,True,5392,0.2445,1049,0.0476,6441,0.2921
40,Unknown,103,3,22050,0,0.0,True,4686,0.2125,155,0.007,4841,0.2195
41,Piano 2     ,36,-4,22050,0,0.0,True,11989,0.5437,1682,0.0763,13671,0.62
42,Piano 2     ,41,-1,22050,0,0.0,True,10830,0.4912,2272,0.103,13102,0.5942
43,Unknown,48,0,22050,0,0.0,True,9313,0.4224,1854,0.0841,11167,0.5064
44,Unknown,56,0,22050,0,0.0,True,8309,0.3768,1487,0.0674,9796,0.4443
45,Unknown,64,1,22050,0,0.0,True,9176,0.4161,1339,0.0607,10515,0.4769
46,Unknown,73,1,22050,0,0.0,True,6194,0.2809,1393,0.0632,7587,0.3441
47,Unknown,78,-1,22050,0,0.0,True,6447,0.2924,1221,0.0554,7668,0.3478
48,Unknown,84,-2,22050,0,0.0,True,5976,0.271,1368,0.062,7344,0.3331
49,Unknown,92,1,22050,0,0.0,True,5392,0.2445,1049,0.0476,6441,0.2921
50,Unknown,103,3,22050,0,0.0,True,4686,0.2125,155,0.007,4841,0.2195
51,Piano 2     ,36,-4,22050,0,0.0,True,11989,0.5437,1682,0.0763,13671,0.62
52,Piano 2     ,41,-1,22050,0,0.0,True,10830,0.4912,2272,0.103,13102,0.5942
53,Unknown,48,0,22050,0,0.0,True,9313,0.4224,1854,0.0841,11167,0.5064
54,Unknown,56,0,22050,0,0.0,True,8309,0.3768,1487,0.0674,9796,0.4443
55,Unknown,64,1,22050,0,0.0,True,9176,0.4161,1339,0.0607,10515,0.4769
56,Unknown,73,1,22050,0,0.0,True,6194,0.2809,1393,0.0632,7587,0.3441
57,Unknown,78,-1,22050,0,0.0,True,6447,0.2924,1221,0.0554,7668,0.3478
58,Unknown,84,-2,22050,0,0.0,True,5976,0.271,1368,0.062,7344,0.3331
59,Unknown,92,1,22050,0,0.0,True,5392,0.2445,1049,0.0476,6441,0.2921
60,Unknown,103,3,22050,0,0.0,True,4686,0.2125,155,0.007,4841,0.2195
61,Piano 3     ,36,-4,22050,0,0.0,True,11989,0.5437,1682,0.0763,13671,0.62
62,Piano 3     ,41,-1,22050,0,0.0,True,10830,0.4912,2272,0.103,13102,0.5942
